James Bond	Face	Color	Symb	NumDisp	SymDisp	Topic	Explanation	BackgroundColor	qTextColor	footerColor	Text	Level	Answer
	1H	#ff0000	A♥	A	♥	You		#ffffff	#000000	#cccccc	Who am I?	3	I am a government employee. I do my job, and I do it well. I am on the side of order and I fight chaos, literally and figuratively. I am one of the few people in my country licensed to kill.
	1C	#000000	A♣	A	♣	People		#ffffff	#000000	#cccccc	Who is important<br>to me?	3	The people who protect and support me are important. Miss Moneypenny, Felix, Q, and M are all important to me.
	1D	#ff0000	A♦	A	♦	World		#ffffff	#000000	#cccccc	What do I<br>need to know?	3	I have no idea what I would do if I didn't do what I do. The question makes no sense to me.
	1S	#000000	A♠	A	♠	Work		#ffffff	#000000	#cccccc	What do I want<br>to do?	3	This is a colossally stupid question. I want to do what needs to be done, and whether what needs to be done is something I want to do is irrelevant.
	2H	#ff0000	2♥	2	♥	Gratitude		#ffffff	#000000	#cccccc	What am I<br>grateful for and<br>how do I<br>give thanks?	1	I am grateful for the opportunity to serve and the trust my government has in me to make the right decisions; even life and death ones.
	2C	#000000	2♣	2	♣	Fairness		#ffffff	#000000	#cccccc	What does<br>fairness mean<br>to me?	1	Fairness is a fairy tale and I am the fairy.
	2D	#ff0000	2♦	2	♦	Wealth		#ffffff	#000000	#cccccc	Where do<br>the things I want<br>come from?	1	All the material things I need come from the government; everything I need to do my job and enough pay so I don't care about money.
	2S	#000000	2♠	2	♠	Motivation		#ffffff	#000000	#cccccc	What will I do<br>only if<br>I am rewarded and<br>what will I do<br>for its own sake?	1	If you want to know why I do what I do it is because I was trained to do it and it needs to be done. I don't care about rewards. People who care about rewards can be bought, and I can't be bought.
	3H	#ff0000	3♥	3	♥	Boss		#ffffff	#000000	#cccccc	Who is<br>the boss of me?	1	I am the boss of me. Period.
	3C	#000000	3♣	3	♣	Family		#ffffff	#000000	#cccccc	Who would help me<br>even though<br>they don't like me?	1	I have no family. My boss and those who support me in my work would help me even when they don't like me.
	3D	#ff0000	3♦	3	♦	Nature		#ffffff	#000000	#cccccc	What is<br>my relationship<br>with nature?	1	I've never thought about it.
	3S	#000000	3♠	3	♠	Generosity		#ffffff	#000000	#cccccc	What do<br>I give without<br>expectation of return?	1	I live to serve. Is that not generosity enough?
	4H	#ff0000	4♥	4	♥	Experiences		#ffffff	#000000	#cccccc	What experiences<br>do I want<br>to have?	1	I want to live well and live long but not so long that I can no longer do my job.
	4C	#000000	4♣	4	♣	Friendship		#ffffff	#000000	#cccccc	What does<br>friendship mean<br>to me?	1	I have very few friends. Being a friend either means that you support me or you play with me.
